,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-24 20:01:39.284470
11,"""BTC"" ",0.01044296,"""dYdX BTC ",2022-05-24 20:01:39.284470
13,"""BTC"" ",0.004,"""FTX BTC ",2022-05-24 20:01:39.284470
15,"""BTC"" ",-0.0366,"""BitMEX BTC ",2022-05-24 20:01:39.284470
18,"""ETH"" ",-0.00404,"""Binance ETH ",2022-05-24 20:01:39.284470
20,"""ETH"" ",0.01578896,"""dYdX ETH ",2022-05-24 20:01:39.284470
22,"""ETH"" ",0.004,"""FTX ETH ",2022-05-24 20:01:39.284470
24,"""ETH"" ",0.0393,"""BitMEX ETH ",2022-05-24 20:01:39.284470
27,"""XRP"" ",-0.01041,"""Binance XRP ",2022-05-24 20:01:39.284470
30,"""XRP"" ",-0.0168,"""FTX XRP ",2022-05-24 20:01:39.284470
32,"""XRP"" ",0.0153,"""BitMEX XRP ",2022-05-24 20:01:39.284470
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-24 20:01:39.284470
37,"""BCH"" ",0.01086536,"""dYdX BCH ",2022-05-24 20:01:39.284470
39,"""BCH"" ",-0.0016,"""FTX BCH ",2022-05-24 20:01:39.284470
41,"""BCH"" ",0.0203,"""BitMEX BCH ",2022-05-24 20:01:39.284470
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-24 20:01:39.284470
46,"""COMP"" ",0.01,"""dYdX COMP ",2022-05-24 20:01:39.284470
48,"""COMP"" ",0.0,"""FTX COMP ",2022-05-24 20:01:39.284470
52,"""KNC"" ",0.004397,"""Binance KNC ",2022-05-24 20:01:39.284470
55,"""KNC"" ",0.0048,"""FTX KNC ",2022-05-24 20:01:39.284470
59,"""LINK"" ",-0.006136,"""Binance LINK ",2022-05-24 20:01:39.284470
61,"""LINK"" ",0.00361376,"""dYdX LINK ",2022-05-24 20:01:39.284470
63,"""LINK"" ",-0.0192,"""FTX LINK ",2022-05-24 20:01:39.284470
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-24 20:01:39.284470
68,"""XTZ"" ",0.008936,"""Binance XTZ ",2022-05-24 20:01:39.284470
70,"""XTZ"" ",-0.05111784,"""dYdX XTZ ",2022-05-24 20:01:39.284470
72,"""XTZ"" ",-0.0016,"""FTX XTZ ",2022-05-24 20:01:39.284470
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-24 20:01:39.284470
79,"""BNB"" ",-0.008,"""FTX BNB ",2022-05-24 20:01:39.284470
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-24 20:01:39.284470
84,"""LTC"" ",-0.005845,"""Binance LTC ",2022-05-24 20:01:39.284470
86,"""LTC"" ",0.00609592,"""dYdX LTC ",2022-05-24 20:01:39.284470
88,"""LTC"" ",-0.0056,"""FTX LTC ",2022-05-24 20:01:39.284470
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-24 20:01:39.284470
93,"""ETC"" ",-0.023626,"""Binance ETC ",2022-05-24 20:01:39.284470
95,"""ETC"" ",0.01,"""dYdX ETC ",2022-05-24 20:01:39.284470
97,"""ETC"" ",-0.024,"""FTX ETC ",2022-05-24 20:01:39.284470
101,"""EOS"" ",-0.006894,"""Binance EOS ",2022-05-24 20:01:39.284470
103,"""EOS"" ",0.00534704,"""dYdX EOS ",2022-05-24 20:01:39.284470
105,"""EOS"" ",-0.04,"""FTX EOS ",2022-05-24 20:01:39.284470
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-24 20:01:39.284470
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-24 20:01:39.284470
112,"""DOGE"" ",0.01,"""dYdX DOGE ",2022-05-24 20:01:39.284470
114,"""DOGE"" ",-0.008,"""FTX DOGE ",2022-05-24 20:01:39.284470
116,"""DOGE"" ",0.0464,"""BitMEX DOGE ",2022-05-24 20:01:39.284470
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-24 20:01:39.284470
121,"""1INCH"" ",-0.01315768,"""dYdX 1INCH ",2022-05-24 20:01:39.284470
123,"""1INCH"" ",-0.0264,"""FTX 1INCH ",2022-05-24 20:01:39.284470
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-24 20:01:39.284470
129,"""AAVE"" ",0.00616528,"""dYdX AAVE ",2022-05-24 20:01:39.284470
131,"""AAVE"" ",-0.0096,"""FTX AAVE ",2022-05-24 20:01:39.284470
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-24 20:01:39.284470
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-24 20:01:39.284470
143,"""ADA"" ",0.0078392,"""dYdX ADA ",2022-05-24 20:01:39.284470
145,"""ADA"" ",-0.0168,"""FTX ADA ",2022-05-24 20:01:39.284470
147,"""ADA"" ",0.0514,"""BitMEX ADA ",2022-05-24 20:01:39.284470
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-24 20:01:39.284470
158,"""AGLD"" ",-0.0216,"""FTX AGLD ",2022-05-24 20:01:39.284470
