,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-27 00:29:58.570406
11,"""BTC"" ",0.00040808,"""dYdX BTC ",2022-05-27 00:29:58.570406
13,"""BTC"" ",0.0048,"""FTX BTC ",2022-05-27 00:29:58.570406
15,"""BTC"" ",-0.0035,"""BitMEX BTC ",2022-05-27 00:29:58.570406
18,"""ETH"" ",0.01,"""Binance ETH ",2022-05-27 00:29:58.570406
20,"""ETH"" ",0.01205904,"""dYdX ETH ",2022-05-27 00:29:58.570406
22,"""ETH"" ",0.0064,"""FTX ETH ",2022-05-27 00:29:58.570406
24,"""ETH"" ",0.0555,"""BitMEX ETH ",2022-05-27 00:29:58.570406
27,"""XRP"" ",-0.018376,"""Binance XRP ",2022-05-27 00:29:58.570406
30,"""XRP"" ",-0.0072,"""FTX XRP ",2022-05-27 00:29:58.570406
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-27 00:29:58.570406
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-27 00:29:58.570406
37,"""BCH"" ",0.0101452,"""dYdX BCH ",2022-05-27 00:29:58.570406
39,"""BCH"" ",0.0104,"""FTX BCH ",2022-05-27 00:29:58.570406
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-27 00:29:58.570406
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-27 00:29:58.570406
46,"""COMP"" ",0.00986448,"""dYdX COMP ",2022-05-27 00:29:58.570406
48,"""COMP"" ",0.0,"""FTX COMP ",2022-05-27 00:29:58.570406
52,"""KNC"" ",0.01,"""Binance KNC ",2022-05-27 00:29:58.570406
55,"""KNC"" ",0.0304,"""FTX KNC ",2022-05-27 00:29:58.570406
59,"""LINK"" ",-0.011896,"""Binance LINK ",2022-05-27 00:29:58.570406
61,"""LINK"" ",0.00120712,"""dYdX LINK ",2022-05-27 00:29:58.570406
63,"""LINK"" ",-0.028,"""FTX LINK ",2022-05-27 00:29:58.570406
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-27 00:29:58.570406
68,"""XTZ"" ",0.003448,"""Binance XTZ ",2022-05-27 00:29:58.570406
70,"""XTZ"" ",0.01,"""dYdX XTZ ",2022-05-27 00:29:58.570406
72,"""XTZ"" ",-0.0104,"""FTX XTZ ",2022-05-27 00:29:58.570406
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-27 00:29:58.570406
79,"""BNB"" ",-0.0144,"""FTX BNB ",2022-05-27 00:29:58.570406
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-27 00:29:58.570406
84,"""LTC"" ",-0.017737,"""Binance LTC ",2022-05-27 00:29:58.570406
86,"""LTC"" ",0.00083288,"""dYdX LTC ",2022-05-27 00:29:58.570406
88,"""LTC"" ",-0.024,"""FTX LTC ",2022-05-27 00:29:58.570406
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-27 00:29:58.570406
93,"""ETC"" ",0.005148,"""Binance ETC ",2022-05-27 00:29:58.570406
95,"""ETC"" ",0.00773792,"""dYdX ETC ",2022-05-27 00:29:58.570406
97,"""ETC"" ",-0.0056,"""FTX ETC ",2022-05-27 00:29:58.570406
101,"""EOS"" ",-0.025046,"""Binance EOS ",2022-05-27 00:29:58.570406
103,"""EOS"" ",-0.00258008,"""dYdX EOS ",2022-05-27 00:29:58.570406
105,"""EOS"" ",-0.0496,"""FTX EOS ",2022-05-27 00:29:58.570406
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-27 00:29:58.570406
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-27 00:29:58.570406
112,"""DOGE"" ",0.00118768,"""dYdX DOGE ",2022-05-27 00:29:58.570406
114,"""DOGE"" ",-0.012,"""FTX DOGE ",2022-05-27 00:29:58.570406
116,"""DOGE"" ",0.0204,"""BitMEX DOGE ",2022-05-27 00:29:58.570406
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-27 00:29:58.570406
121,"""1INCH"" ",0.00158112,"""dYdX 1INCH ",2022-05-27 00:29:58.570406
123,"""1INCH"" ",-0.0176,"""FTX 1INCH ",2022-05-27 00:29:58.570406
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-27 00:29:58.570406
129,"""AAVE"" ",0.0127708,"""dYdX AAVE ",2022-05-27 00:29:58.570406
131,"""AAVE"" ",0.0,"""FTX AAVE ",2022-05-27 00:29:58.570406
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-27 00:29:58.570406
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-27 00:29:58.570406
143,"""ADA"" ",0.0017724,"""dYdX ADA ",2022-05-27 00:29:58.570406
145,"""ADA"" ",-0.0208,"""FTX ADA ",2022-05-27 00:29:58.570406
147,"""ADA"" ",0.0377,"""BitMEX ADA ",2022-05-27 00:29:58.570406
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-27 00:29:58.570406
158,"""AGLD"" ",-0.0232,"""FTX AGLD ",2022-05-27 00:29:58.570406
162,"""AKRO"" ",0.083221,"""Binance AKRO ",2022-05-27 00:29:58.570406
170,"""ALCX"" ",-0.0624,"""FTX ALCX ",2022-05-27 00:29:58.570406
174,"""ALGO"" ",0.002378,"""Binance ALGO ",2022-05-27 00:29:58.570406
176,"""ALGO"" ",0.00675072,"""dYdX ALGO ",2022-05-27 00:29:58.570406
178,"""ALGO"" ",-0.0096,"""FTX ALGO ",2022-05-27 00:29:58.570406
182,"""ALICE"" ",0.021982,"""Binance ALICE ",2022-05-27 00:29:58.570406
185,"""ALICE"" ",-0.0048,"""FTX ALICE ",2022-05-27 00:29:58.570406
189,"""ALPHA"" ",0.069044,"""Binance ALPHA ",2022-05-27 00:29:58.570406
192,"""ALPHA"" ",-0.036,"""FTX ALPHA ",2022-05-27 00:29:58.570406
199,"""ALTME"" ",0.01,"""BitMEX ALTME ",2022-05-27 00:29:58.570406
205,"""ALTMEXTT"" ",1.1626,"""BitMEX ALTMEXTT ",2022-05-27 00:29:58.570406
210,"""AMC"" ",0.0,"""FTX AMC ",2022-05-27 00:29:58.570406
216,"""ANC"" ",-0.7392,"""FTX ANC ",2022-05-27 00:29:58.570406
220,"""ANKR"" ",0.144693,"""Binance ANKR ",2022-05-27 00:29:58.570406
228,"""APE"" ",-0.0232,"""FTX APE ",2022-05-27 00:29:58.570406
230,"""APE"" ",-0.0902,"""BitMEX APE ",2022-05-27 00:29:58.570406
236,"""APET"" ",-0.0352,"""BitMEX APET ",2022-05-27 00:29:58.570406
241,"""AR"" ",0.0184,"""FTX AR ",2022-05-27 00:29:58.570406
247,"""ASD"" ",-0.044,"""FTX ASD ",2022-05-27 00:29:58.570406
253,"""ATLAS"" ",-0.3672,"""FTX ATLAS ",2022-05-27 00:29:58.570406
257,"""ATOM"" ",0.00242,"""Binance ATOM ",2022-05-27 00:29:58.570406
259,"""ATOM"" ",0.0019924,"""dYdX ATOM ",2022-05-27 00:29:58.570406
261,"""ATOM"" ",-0.0376,"""FTX ATOM ",2022-05-27 00:29:58.570406
267,"""AUDIO"" ",-0.044,"""FTX AUDIO ",2022-05-27 00:29:58.570406
271,"""AVAX"" ",0.173657,"""Binance AVAX ",2022-05-27 00:29:58.570406
273,"""AVAX"" ",-0.04955528,"""dYdX AVAX ",2022-05-27 00:29:58.570406
275,"""AVAX"" ",-0.0232,"""FTX AVAX ",2022-05-27 00:29:58.570406
277,"""AVAX"" ",0.01,"""BitMEX AVAX ",2022-05-27 00:29:58.570406
283,"""AVAXT"" ",0.01,"""BitMEX AVAXT ",2022-05-27 00:29:58.570406
286,"""AXS"" ",0.15546,"""Binance AXS ",2022-05-27 00:29:58.570406
289,"""AXS"" ",-0.1776,"""FTX AXS ",2022-05-27 00:29:58.570406
291,"""AXS"" ",-0.0071,"""BitMEX AXS ",2022-05-27 00:29:58.570406
297,"""AXST"" ",-0.0294,"""BitMEX AXST ",2022-05-27 00:29:58.570406
302,"""BADGE"" ",0.0144,"""FTX BADGE ",2022-05-27 00:29:58.570406
308,"""BADGER"" ",-0.0352,"""FTX BADGER ",2022-05-27 00:29:58.570406
314,"""BAO"" ",0.084,"""FTX BAO ",2022-05-27 00:29:58.570406
318,"""BAT"" ",-0.012184,"""Binance BAT ",2022-05-27 00:29:58.570406
321,"""BAT"" ",-0.0056,"""FTX BAT ",2022-05-27 00:29:58.570406
328,"""BCHT"" ",0.01,"""BitMEX BCHT ",2022-05-27 00:29:58.570406
331,"""BEL"" ",0.008452,"""Binance BEL ",2022-05-27 00:29:58.570406
339,"""BIT"" ",0.0096,"""FTX BIT ",2022-05-27 00:29:58.570406
343,"""BLZ"" ",-0.006982,"""Binance BLZ ",2022-05-27 00:29:58.570406
349,"""BNBBU"" ",0.01,"""Binance BNBBU ",2022-05-27 00:29:58.570406
358,"""BNBT"" ",0.01,"""BitMEX BNBT ",2022-05-27 00:29:58.570406
361,"""BNT"" ",0.01,"""Binance BNT ",2022-05-27 00:29:58.570406
364,"""BNT"" ",-0.0848,"""FTX BNT ",2022-05-27 00:29:58.570406
370,"""BOBA"" ",0.0128,"""FTX BOBA ",2022-05-27 00:29:58.570406
376,"""BSV"" ",-0.0336,"""FTX BSV ",2022-05-27 00:29:58.570406
380,"""BTCBU"" ",-0.008024,"""Binance BTCBU ",2022-05-27 00:29:58.570406
386,"""BTCDO"" ",0.01,"""Binance BTCDO ",2022-05-27 00:29:58.570406
392,"""BTCST"" ",0.01,"""Binance BTCST ",2022-05-27 00:29:58.570406
398,"""BTS"" ",0.075661,"""Binance BTS ",2022-05-27 00:29:58.570406
404,"""BTT"" ",0.019598,"""Binance BTT ",2022-05-27 00:29:58.570406
407,"""BTT"" ",-0.1,"""FTX BTT ",2022-05-27 00:29:58.570406
411,"""BZRX"" ",0.089926,"""Binance BZRX ",2022-05-27 00:29:58.570406
417,"""C98"" ",0.067425,"""Binance C98 ",2022-05-27 00:29:58.570406
420,"""C98"" ",-0.0288,"""FTX C98 ",2022-05-27 00:29:58.570406
426,"""CAKE"" ",-0.0072,"""FTX CAKE ",2022-05-27 00:29:58.570406
432,"""CEL"" ",-0.0144,"""FTX CEL ",2022-05-27 00:29:58.570406
437,"""CELO"" ",0.00335928,"""dYdX CELO ",2022-05-27 00:29:58.570406
439,"""CELO"" ",0.0072,"""FTX CELO ",2022-05-27 00:29:58.570406
443,"""CELR"" ",0.01,"""Binance CELR ",2022-05-27 00:29:58.570406
449,"""CHR"" ",0.01,"""Binance CHR ",2022-05-27 00:29:58.570406
452,"""CHR"" ",-0.0216,"""FTX CHR ",2022-05-27 00:29:58.570406
456,"""CHZ"" ",0.017775,"""Binance CHZ ",2022-05-27 00:29:58.570406
459,"""CHZ"" ",-0.0312,"""FTX CHZ ",2022-05-27 00:29:58.570406
465,"""CLV"" ",-0.112,"""FTX CLV ",2022-05-27 00:29:58.570406
471,"""CONV"" ",0.1,"""FTX CONV ",2022-05-27 00:29:58.570406
475,"""COTI"" ",0.075909,"""Binance COTI ",2022-05-27 00:29:58.570406
483,"""CREAM"" ",-0.012,"""FTX CREAM ",2022-05-27 00:29:58.570406
489,"""CRO"" ",-0.0312,"""FTX CRO ",2022-05-27 00:29:58.570406
493,"""CRV"" ",-0.008687,"""Binance CRV ",2022-05-27 00:29:58.570406
495,"""CRV"" ",-0.00554992,"""dYdX CRV ",2022-05-27 00:29:58.570406
497,"""CRV"" ",-0.0128,"""FTX CRV ",2022-05-27 00:29:58.570406
