,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-25 20:00:59.585149
11,"""BTC"" ",0.02553168,"""dYdX BTC ",2022-05-25 20:00:59.585149
13,"""BTC"" ",0.0056,"""FTX BTC ",2022-05-25 20:00:59.585149
15,"""BTC"" ",0.0056,"""BitMEX BTC ",2022-05-25 20:00:59.585149
18,"""ETH"" ",0.006424,"""Binance ETH ",2022-05-25 20:00:59.585149
20,"""ETH"" ",0.01544568,"""dYdX ETH ",2022-05-25 20:00:59.585149
22,"""ETH"" ",0.008,"""FTX ETH ",2022-05-25 20:00:59.585149
24,"""ETH"" ",0.1093,"""BitMEX ETH ",2022-05-25 20:00:59.585149
27,"""XRP"" ",-0.012695,"""Binance XRP ",2022-05-25 20:00:59.585149
30,"""XRP"" ",-0.0064,"""FTX XRP ",2022-05-25 20:00:59.585149
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-25 20:00:59.585149
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-25 20:00:59.585149
37,"""BCH"" ",0.00537976,"""dYdX BCH ",2022-05-25 20:00:59.585149
39,"""BCH"" ",0.0016,"""FTX BCH ",2022-05-25 20:00:59.585149
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-25 20:00:59.585149
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-25 20:00:59.585149
46,"""COMP"" ",0.0090124,"""dYdX COMP ",2022-05-25 20:00:59.585149
48,"""COMP"" ",0.0,"""FTX COMP ",2022-05-25 20:00:59.585149
52,"""KNC"" ",-0.011778,"""Binance KNC ",2022-05-25 20:00:59.585149
55,"""KNC"" ",-0.044,"""FTX KNC ",2022-05-25 20:00:59.585149
59,"""LINK"" ",0.00432,"""Binance LINK ",2022-05-25 20:00:59.585149
61,"""LINK"" ",0.00668216,"""dYdX LINK ",2022-05-25 20:00:59.585149
63,"""LINK"" ",-0.0024,"""FTX LINK ",2022-05-25 20:00:59.585149
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-25 20:00:59.585149
68,"""XTZ"" ",0.01,"""Binance XTZ ",2022-05-25 20:00:59.585149
70,"""XTZ"" ",0.00964832,"""dYdX XTZ ",2022-05-25 20:00:59.585149
72,"""XTZ"" ",-0.0016,"""FTX XTZ ",2022-05-25 20:00:59.585149
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-25 20:00:59.585149
79,"""BNB"" ",-0.02,"""FTX BNB ",2022-05-25 20:00:59.585149
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-25 20:00:59.585149
84,"""LTC"" ",0.000379,"""Binance LTC ",2022-05-25 20:00:59.585149
86,"""LTC"" ",-0.00530408,"""dYdX LTC ",2022-05-25 20:00:59.585149
88,"""LTC"" ",-0.0064,"""FTX LTC ",2022-05-25 20:00:59.585149
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-25 20:00:59.585149
93,"""ETC"" ",-0.009887,"""Binance ETC ",2022-05-25 20:00:59.585149
95,"""ETC"" ",0.00923424,"""dYdX ETC ",2022-05-25 20:00:59.585149
97,"""ETC"" ",-0.004,"""FTX ETC ",2022-05-25 20:00:59.585149
101,"""EOS"" ",0.005206,"""Binance EOS ",2022-05-25 20:00:59.585149
103,"""EOS"" ",0.004748,"""dYdX EOS ",2022-05-25 20:00:59.585149
105,"""EOS"" ",-0.0176,"""FTX EOS ",2022-05-25 20:00:59.585149
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-25 20:00:59.585149
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-25 20:00:59.585149
112,"""DOGE"" ",0.00575688,"""dYdX DOGE ",2022-05-25 20:00:59.585149
114,"""DOGE"" ",0.0008,"""FTX DOGE ",2022-05-25 20:00:59.585149
116,"""DOGE"" ",0.0553,"""BitMEX DOGE ",2022-05-25 20:00:59.585149
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-25 20:00:59.585149
121,"""1INCH"" ",-0.03039992,"""dYdX 1INCH ",2022-05-25 20:00:59.585149
123,"""1INCH"" ",-0.0328,"""FTX 1INCH ",2022-05-25 20:00:59.585149
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-25 20:00:59.585149
129,"""AAVE"" ",-0.01045448,"""dYdX AAVE ",2022-05-25 20:00:59.585149
131,"""AAVE"" ",-0.0056,"""FTX AAVE ",2022-05-25 20:00:59.585149
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-25 20:00:59.585149
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-25 20:00:59.585149
143,"""ADA"" ",0.00037568,"""dYdX ADA ",2022-05-25 20:00:59.585149
145,"""ADA"" ",-0.016,"""FTX ADA ",2022-05-25 20:00:59.585149
147,"""ADA"" ",0.07,"""BitMEX ADA ",2022-05-25 20:00:59.585149
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-25 20:00:59.585149
158,"""AGLD"" ",-0.0216,"""FTX AGLD ",2022-05-25 20:00:59.585149
