,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-27 20:01:06.997267
11,"""BTC"" ",0.00309768,"""dYdX BTC ",2022-05-27 20:01:06.997267
13,"""BTC"" ",0.0024,"""FTX BTC ",2022-05-27 20:01:06.997267
15,"""BTC"" ",-0.0158,"""BitMEX BTC ",2022-05-27 20:01:06.997267
18,"""ETH"" ",0.00535,"""Binance ETH ",2022-05-27 20:01:06.997267
20,"""ETH"" ",0.02525344,"""dYdX ETH ",2022-05-27 20:01:06.997267
22,"""ETH"" ",0.0048,"""FTX ETH ",2022-05-27 20:01:06.997267
24,"""ETH"" ",0.0748,"""BitMEX ETH ",2022-05-27 20:01:06.997267
27,"""XRP"" ",0.004279,"""Binance XRP ",2022-05-27 20:01:06.997267
30,"""XRP"" ",-0.0032,"""FTX XRP ",2022-05-27 20:01:06.997267
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-27 20:01:06.997267
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-27 20:01:06.997267
37,"""BCH"" ",0.00805896,"""dYdX BCH ",2022-05-27 20:01:06.997267
39,"""BCH"" ",-0.008,"""FTX BCH ",2022-05-27 20:01:06.997267
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-27 20:01:06.997267
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-27 20:01:06.997267
46,"""COMP"" ",0.00233504,"""dYdX COMP ",2022-05-27 20:01:06.997267
48,"""COMP"" ",-0.0216,"""FTX COMP ",2022-05-27 20:01:06.997267
52,"""KNC"" ",-0.010216,"""Binance KNC ",2022-05-27 20:01:06.997267
55,"""KNC"" ",-0.0088,"""FTX KNC ",2022-05-27 20:01:06.997267
59,"""LINK"" ",0.000325,"""Binance LINK ",2022-05-27 20:01:06.997267
61,"""LINK"" ",0.00917824,"""dYdX LINK ",2022-05-27 20:01:06.997267
63,"""LINK"" ",-0.0144,"""FTX LINK ",2022-05-27 20:01:06.997267
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-27 20:01:06.997267
68,"""XTZ"" ",0.004905,"""Binance XTZ ",2022-05-27 20:01:06.997267
70,"""XTZ"" ",0.00962744,"""dYdX XTZ ",2022-05-27 20:01:06.997267
72,"""XTZ"" ",-0.02,"""FTX XTZ ",2022-05-27 20:01:06.997267
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-27 20:01:06.997267
79,"""BNB"" ",-0.0232,"""FTX BNB ",2022-05-27 20:01:06.997267
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-27 20:01:06.997267
84,"""LTC"" ",-0.007883,"""Binance LTC ",2022-05-27 20:01:06.997267
86,"""LTC"" ",0.00319328,"""dYdX LTC ",2022-05-27 20:01:06.997267
88,"""LTC"" ",-0.0024,"""FTX LTC ",2022-05-27 20:01:06.997267
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-27 20:01:06.997267
93,"""ETC"" ",-0.008801,"""Binance ETC ",2022-05-27 20:01:06.997267
95,"""ETC"" ",0.0093536,"""dYdX ETC ",2022-05-27 20:01:06.997267
97,"""ETC"" ",-0.0192,"""FTX ETC ",2022-05-27 20:01:06.997267
101,"""EOS"" ",-0.00275,"""Binance EOS ",2022-05-27 20:01:06.997267
103,"""EOS"" ",0.00657256,"""dYdX EOS ",2022-05-27 20:01:06.997267
105,"""EOS"" ",-0.0312,"""FTX EOS ",2022-05-27 20:01:06.997267
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-27 20:01:06.997267
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-27 20:01:06.997267
112,"""DOGE"" ",0.00160896,"""dYdX DOGE ",2022-05-27 20:01:06.997267
114,"""DOGE"" ",-0.012,"""FTX DOGE ",2022-05-27 20:01:06.997267
116,"""DOGE"" ",0.01,"""BitMEX DOGE ",2022-05-27 20:01:06.997267
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-27 20:01:06.997267
121,"""1INCH"" ",-0.0020924,"""dYdX 1INCH ",2022-05-27 20:01:06.997267
123,"""1INCH"" ",-0.0328,"""FTX 1INCH ",2022-05-27 20:01:06.997267
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-27 20:01:06.997267
129,"""AAVE"" ",0.00805208,"""dYdX AAVE ",2022-05-27 20:01:06.997267
131,"""AAVE"" ",-0.0256,"""FTX AAVE ",2022-05-27 20:01:06.997267
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-27 20:01:06.997267
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-27 20:01:06.997267
143,"""ADA"" ",-0.00029944,"""dYdX ADA ",2022-05-27 20:01:06.997267
145,"""ADA"" ",-0.0176,"""FTX ADA ",2022-05-27 20:01:06.997267
147,"""ADA"" ",0.0206,"""BitMEX ADA ",2022-05-27 20:01:06.997267
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-27 20:01:06.997267
158,"""AGLD"" ",-0.0152,"""FTX AGLD ",2022-05-27 20:01:06.997267
162,"""AKRO"" ",0.083221,"""Binance AKRO ",2022-05-27 20:01:06.997267
170,"""ALCX"" ",-0.0712,"""FTX ALCX ",2022-05-27 20:01:06.997267
174,"""ALGO"" ",0.002378,"""Binance ALGO ",2022-05-27 20:01:06.997267
176,"""ALGO"" ",0.00968,"""dYdX ALGO ",2022-05-27 20:01:06.997267
178,"""ALGO"" ",-0.0176,"""FTX ALGO ",2022-05-27 20:01:06.997267
182,"""ALICE"" ",0.021982,"""Binance ALICE ",2022-05-27 20:01:06.997267
185,"""ALICE"" ",-0.0416,"""FTX ALICE ",2022-05-27 20:01:06.997267
189,"""ALPHA"" ",0.069044,"""Binance ALPHA ",2022-05-27 20:01:06.997267
192,"""ALPHA"" ",-0.0288,"""FTX ALPHA ",2022-05-27 20:01:06.997267
199,"""ALTME"" ",0.01,"""BitMEX ALTME ",2022-05-27 20:01:06.997267
205,"""ALTMEXTT"" ",-0.1631,"""BitMEX ALTMEXTT ",2022-05-27 20:01:06.997267
210,"""AMC"" ",0.0,"""FTX AMC ",2022-05-27 20:01:06.997267
216,"""ANC"" ",-0.648,"""FTX ANC ",2022-05-27 20:01:06.997267
220,"""ANKR"" ",0.144693,"""Binance ANKR ",2022-05-27 20:01:06.997267
228,"""APE"" ",-0.0216,"""FTX APE ",2022-05-27 20:01:06.997267
230,"""APE"" ",0.01,"""BitMEX APE ",2022-05-27 20:01:06.997267
236,"""APET"" ",-0.0297,"""BitMEX APET ",2022-05-27 20:01:06.997267
241,"""AR"" ",-0.0304,"""FTX AR ",2022-05-27 20:01:06.997267
247,"""ASD"" ",-0.0832,"""FTX ASD ",2022-05-27 20:01:06.997267
253,"""ATLAS"" ",-0.2456,"""FTX ATLAS ",2022-05-27 20:01:06.997267
257,"""ATOM"" ",0.00242,"""Binance ATOM ",2022-05-27 20:01:06.997267
259,"""ATOM"" ",0.00273904,"""dYdX ATOM ",2022-05-27 20:01:06.997267
261,"""ATOM"" ",-0.0336,"""FTX ATOM ",2022-05-27 20:01:06.997267
267,"""AUDIO"" ",-0.04,"""FTX AUDIO ",2022-05-27 20:01:06.997267
271,"""AVAX"" ",0.173657,"""Binance AVAX ",2022-05-27 20:01:06.997267
273,"""AVAX"" ",-0.03279864,"""dYdX AVAX ",2022-05-27 20:01:06.997267
275,"""AVAX"" ",-0.0208,"""FTX AVAX ",2022-05-27 20:01:06.997267
277,"""AVAX"" ",0.01,"""BitMEX AVAX ",2022-05-27 20:01:06.997267
283,"""AVAXT"" ",0.01,"""BitMEX AVAXT ",2022-05-27 20:01:06.997267
286,"""AXS"" ",0.15546,"""Binance AXS ",2022-05-27 20:01:06.997267
289,"""AXS"" ",-0.116,"""FTX AXS ",2022-05-27 20:01:06.997267
291,"""AXS"" ",-0.1429,"""BitMEX AXS ",2022-05-27 20:01:06.997267
297,"""AXST"" ",-0.0294,"""BitMEX AXST ",2022-05-27 20:01:06.997267
302,"""BADGE"" ",0.0144,"""FTX BADGE ",2022-05-27 20:01:06.997267
308,"""BADGER"" ",-0.0232,"""FTX BADGER ",2022-05-27 20:01:06.997267
314,"""BAO"" ",0.2008,"""FTX BAO ",2022-05-27 20:01:06.997267
318,"""BAT"" ",-0.012184,"""Binance BAT ",2022-05-27 20:01:06.997267
321,"""BAT"" ",-0.0056,"""FTX BAT ",2022-05-27 20:01:06.997267
328,"""BCHT"" ",0.01,"""BitMEX BCHT ",2022-05-27 20:01:06.997267
331,"""BEL"" ",0.008452,"""Binance BEL ",2022-05-27 20:01:06.997267
339,"""BIT"" ",-0.0216,"""FTX BIT ",2022-05-27 20:01:06.997267
343,"""BLZ"" ",-0.006982,"""Binance BLZ ",2022-05-27 20:01:06.997267
349,"""BNBBU"" ",0.01,"""Binance BNBBU ",2022-05-27 20:01:06.997267
358,"""BNBT"" ",-0.004,"""BitMEX BNBT ",2022-05-27 20:01:06.997267
361,"""BNT"" ",0.01,"""Binance BNT ",2022-05-27 20:01:06.997267
364,"""BNT"" ",0.0232,"""FTX BNT ",2022-05-27 20:01:06.997267
370,"""BOBA"" ",-0.0696,"""FTX BOBA ",2022-05-27 20:01:06.997267
