,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-26 12:01:13.953305
11,"""BTC"" ",-0.00475024,"""dYdX BTC ",2022-05-26 12:01:13.953305
13,"""BTC"" ",-0.0032,"""FTX BTC ",2022-05-26 12:01:13.953305
15,"""BTC"" ",-0.0055,"""BitMEX BTC ",2022-05-26 12:01:13.953305
18,"""ETH"" ",0.003287,"""Binance ETH ",2022-05-26 12:01:13.953305
20,"""ETH"" ",0.00870312,"""dYdX ETH ",2022-05-26 12:01:13.953305
22,"""ETH"" ",-0.0048,"""FTX ETH ",2022-05-26 12:01:13.953305
24,"""ETH"" ",0.0634,"""BitMEX ETH ",2022-05-26 12:01:13.953305
27,"""XRP"" ",-0.003131,"""Binance XRP ",2022-05-26 12:01:13.953305
30,"""XRP"" ",0.0128,"""FTX XRP ",2022-05-26 12:01:13.953305
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-26 12:01:13.953305
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-26 12:01:13.953305
37,"""BCH"" ",0.00843296,"""dYdX BCH ",2022-05-26 12:01:13.953305
39,"""BCH"" ",-0.0072,"""FTX BCH ",2022-05-26 12:01:13.953305
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-26 12:01:13.953305
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-26 12:01:13.953305
46,"""COMP"" ",0.01,"""dYdX COMP ",2022-05-26 12:01:13.953305
48,"""COMP"" ",-0.0024,"""FTX COMP ",2022-05-26 12:01:13.953305
52,"""KNC"" ",-0.013638,"""Binance KNC ",2022-05-26 12:01:13.953305
55,"""KNC"" ",0.0048,"""FTX KNC ",2022-05-26 12:01:13.953305
59,"""LINK"" ",-0.003255,"""Binance LINK ",2022-05-26 12:01:13.953305
61,"""LINK"" ",0.00433384,"""dYdX LINK ",2022-05-26 12:01:13.953305
63,"""LINK"" ",-0.0152,"""FTX LINK ",2022-05-26 12:01:13.953305
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-26 12:01:13.953305
68,"""XTZ"" ",0.01,"""Binance XTZ ",2022-05-26 12:01:13.953305
70,"""XTZ"" ",0.00735688,"""dYdX XTZ ",2022-05-26 12:01:13.953305
72,"""XTZ"" ",-0.016,"""FTX XTZ ",2022-05-26 12:01:13.953305
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-26 12:01:13.953305
79,"""BNB"" ",-0.0288,"""FTX BNB ",2022-05-26 12:01:13.953305
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-26 12:01:13.953305
84,"""LTC"" ",-0.008127,"""Binance LTC ",2022-05-26 12:01:13.953305
86,"""LTC"" ",0.00595568,"""dYdX LTC ",2022-05-26 12:01:13.953305
88,"""LTC"" ",-0.012,"""FTX LTC ",2022-05-26 12:01:13.953305
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-26 12:01:13.953305
93,"""ETC"" ",-0.009305,"""Binance ETC ",2022-05-26 12:01:13.953305
95,"""ETC"" ",0.0086292,"""dYdX ETC ",2022-05-26 12:01:13.953305
97,"""ETC"" ",-0.0208,"""FTX ETC ",2022-05-26 12:01:13.953305
101,"""EOS"" ",-0.012616,"""Binance EOS ",2022-05-26 12:01:13.953305
103,"""EOS"" ",0.002342,"""dYdX EOS ",2022-05-26 12:01:13.953305
105,"""EOS"" ",-0.0144,"""FTX EOS ",2022-05-26 12:01:13.953305
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-26 12:01:13.953305
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-26 12:01:13.953305
112,"""DOGE"" ",0.00444472,"""dYdX DOGE ",2022-05-26 12:01:13.953305
114,"""DOGE"" ",-0.0128,"""FTX DOGE ",2022-05-26 12:01:13.953305
116,"""DOGE"" ",0.0321,"""BitMEX DOGE ",2022-05-26 12:01:13.953305
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-26 12:01:13.953305
121,"""1INCH"" ",-0.00380144,"""dYdX 1INCH ",2022-05-26 12:01:13.953305
123,"""1INCH"" ",-0.0264,"""FTX 1INCH ",2022-05-26 12:01:13.953305
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-26 12:01:13.953305
129,"""AAVE"" ",0.01,"""dYdX AAVE ",2022-05-26 12:01:13.953305
131,"""AAVE"" ",0.008,"""FTX AAVE ",2022-05-26 12:01:13.953305
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-26 12:01:13.953305
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-26 12:01:13.953305
143,"""ADA"" ",0.00543624,"""dYdX ADA ",2022-05-26 12:01:13.953305
