,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-25 12:01:46.861919
11,"""BTC"" ",0.00646704,"""dYdX BTC ",2022-05-25 12:01:46.861919
13,"""BTC"" ",0.0048,"""FTX BTC ",2022-05-25 12:01:46.861919
15,"""BTC"" ",-0.0078,"""BitMEX BTC ",2022-05-25 12:01:46.861919
18,"""ETH"" ",0.01,"""Binance ETH ",2022-05-25 12:01:46.861919
20,"""ETH"" ",0.01135104,"""dYdX ETH ",2022-05-25 12:01:46.861919
22,"""ETH"" ",0.0112,"""FTX ETH ",2022-05-25 12:01:46.861919
24,"""ETH"" ",0.0428,"""BitMEX ETH ",2022-05-25 12:01:46.861919
27,"""XRP"" ",-0.019388,"""Binance XRP ",2022-05-25 12:01:46.861919
30,"""XRP"" ",0.012,"""FTX XRP ",2022-05-25 12:01:46.861919
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-25 12:01:46.861919
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-25 12:01:46.861919
37,"""BCH"" ",0.00853792,"""dYdX BCH ",2022-05-25 12:01:46.861919
39,"""BCH"" ",0.0064,"""FTX BCH ",2022-05-25 12:01:46.861919
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-25 12:01:46.861919
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-25 12:01:46.861919
46,"""COMP"" ",0.00920072,"""dYdX COMP ",2022-05-25 12:01:46.861919
48,"""COMP"" ",0.0064,"""FTX COMP ",2022-05-25 12:01:46.861919
52,"""KNC"" ",-0.049874,"""Binance KNC ",2022-05-25 12:01:46.861919
55,"""KNC"" ",-0.036,"""FTX KNC ",2022-05-25 12:01:46.861919
59,"""LINK"" ",0.002571,"""Binance LINK ",2022-05-25 12:01:46.861919
61,"""LINK"" ",0.00945888,"""dYdX LINK ",2022-05-25 12:01:46.861919
63,"""LINK"" ",-0.0024,"""FTX LINK ",2022-05-25 12:01:46.861919
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-25 12:01:46.861919
68,"""XTZ"" ",0.01,"""Binance XTZ ",2022-05-25 12:01:46.861919
70,"""XTZ"" ",-0.00320752,"""dYdX XTZ ",2022-05-25 12:01:46.861919
72,"""XTZ"" ",-0.0008,"""FTX XTZ ",2022-05-25 12:01:46.861919
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-25 12:01:46.861919
79,"""BNB"" ",-0.0016,"""FTX BNB ",2022-05-25 12:01:46.861919
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-25 12:01:46.861919
84,"""LTC"" ",0.005062,"""Binance LTC ",2022-05-25 12:01:46.861919
86,"""LTC"" ",0.00587072,"""dYdX LTC ",2022-05-25 12:01:46.861919
88,"""LTC"" ",-0.0024,"""FTX LTC ",2022-05-25 12:01:46.861919
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-25 12:01:46.861919
93,"""ETC"" ",-0.006016,"""Binance ETC ",2022-05-25 12:01:46.861919
95,"""ETC"" ",0.01007544,"""dYdX ETC ",2022-05-25 12:01:46.861919
97,"""ETC"" ",-0.0032,"""FTX ETC ",2022-05-25 12:01:46.861919
101,"""EOS"" ",0.003242,"""Binance EOS ",2022-05-25 12:01:46.861919
103,"""EOS"" ",0.00539592,"""dYdX EOS ",2022-05-25 12:01:46.861919
105,"""EOS"" ",-0.0056,"""FTX EOS ",2022-05-25 12:01:46.861919
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-25 12:01:46.861919
