,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-26 20:01:38.111193
11,"""BTC"" ",0.0152468,"""dYdX BTC ",2022-05-26 20:01:38.111193
13,"""BTC"" ",0.012,"""FTX BTC ",2022-05-26 20:01:38.111193
15,"""BTC"" ",0.01,"""BitMEX BTC ",2022-05-26 20:01:38.111193
18,"""ETH"" ",-0.014343,"""Binance ETH ",2022-05-26 20:01:38.111193
20,"""ETH"" ",0.008678,"""dYdX ETH ",2022-05-26 20:01:38.111193
22,"""ETH"" ",0.0016,"""FTX ETH ",2022-05-26 20:01:38.111193
24,"""ETH"" ",0.0662,"""BitMEX ETH ",2022-05-26 20:01:38.111193
27,"""XRP"" ",-0.024606,"""Binance XRP ",2022-05-26 20:01:38.111193
30,"""XRP"" ",-0.0216,"""FTX XRP ",2022-05-26 20:01:38.111193
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-26 20:01:38.111193
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-26 20:01:38.111193
37,"""BCH"" ",0.00836432,"""dYdX BCH ",2022-05-26 20:01:38.111193
39,"""BCH"" ",-0.0152,"""FTX BCH ",2022-05-26 20:01:38.111193
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-26 20:01:38.111193
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-26 20:01:38.111193
46,"""COMP"" ",0.0098632,"""dYdX COMP ",2022-05-26 20:01:38.111193
48,"""COMP"" ",0.0032,"""FTX COMP ",2022-05-26 20:01:38.111193
52,"""KNC"" ",-0.034089,"""Binance KNC ",2022-05-26 20:01:38.111193
55,"""KNC"" ",0.0,"""FTX KNC ",2022-05-26 20:01:38.111193
59,"""LINK"" ",-0.024844,"""Binance LINK ",2022-05-26 20:01:38.111193
61,"""LINK"" ",0.00685192,"""dYdX LINK ",2022-05-26 20:01:38.111193
63,"""LINK"" ",-0.0352,"""FTX LINK ",2022-05-26 20:01:38.111193
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-26 20:01:38.111193
68,"""XTZ"" ",0.006311,"""Binance XTZ ",2022-05-26 20:01:38.111193
70,"""XTZ"" ",0.01,"""dYdX XTZ ",2022-05-26 20:01:38.111193
72,"""XTZ"" ",-0.0136,"""FTX XTZ ",2022-05-26 20:01:38.111193
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-26 20:01:38.111193
79,"""BNB"" ",-0.0288,"""FTX BNB ",2022-05-26 20:01:38.111193
