,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-26 04:01:35.514881
11,"""BTC"" ",0.00564552,"""dYdX BTC ",2022-05-26 04:01:35.514881
13,"""BTC"" ",0.0048,"""FTX BTC ",2022-05-26 04:01:35.514881
15,"""BTC"" ",-0.0024,"""BitMEX BTC ",2022-05-26 04:01:35.514881
18,"""ETH"" ",0.01,"""Binance ETH ",2022-05-26 04:01:35.514881
20,"""ETH"" ",0.01279568,"""dYdX ETH ",2022-05-26 04:01:35.514881
22,"""ETH"" ",0.0008,"""FTX ETH ",2022-05-26 04:01:35.514881
24,"""ETH"" ",0.0568,"""BitMEX ETH ",2022-05-26 04:01:35.514881
27,"""XRP"" ",-0.014698,"""Binance XRP ",2022-05-26 04:01:35.514881
30,"""XRP"" ",-0.0208,"""FTX XRP ",2022-05-26 04:01:35.514881
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-26 04:01:35.514881
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-26 04:01:35.514881
37,"""BCH"" ",0.010148,"""dYdX BCH ",2022-05-26 04:01:35.514881
39,"""BCH"" ",0.0032,"""FTX BCH ",2022-05-26 04:01:35.514881
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-26 04:01:35.514881
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-26 04:01:35.514881
46,"""COMP"" ",0.01,"""dYdX COMP ",2022-05-26 04:01:35.514881
48,"""COMP"" ",-0.0016,"""FTX COMP ",2022-05-26 04:01:35.514881
52,"""KNC"" ",-0.042066,"""Binance KNC ",2022-05-26 04:01:35.514881
55,"""KNC"" ",-0.016,"""FTX KNC ",2022-05-26 04:01:35.514881
59,"""LINK"" ",0.01,"""Binance LINK ",2022-05-26 04:01:35.514881
61,"""LINK"" ",0.00767912,"""dYdX LINK ",2022-05-26 04:01:35.514881
63,"""LINK"" ",-0.0128,"""FTX LINK ",2022-05-26 04:01:35.514881
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-26 04:01:35.514881
68,"""XTZ"" ",0.01,"""Binance XTZ ",2022-05-26 04:01:35.514881
70,"""XTZ"" ",0.01,"""dYdX XTZ ",2022-05-26 04:01:35.514881
72,"""XTZ"" ",0.016,"""FTX XTZ ",2022-05-26 04:01:35.514881
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-26 04:01:35.514881
79,"""BNB"" ",-0.0112,"""FTX BNB ",2022-05-26 04:01:35.514881
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-26 04:01:35.514881
84,"""LTC"" ",0.002168,"""Binance LTC ",2022-05-26 04:01:35.514881
86,"""LTC"" ",0.0040548,"""dYdX LTC ",2022-05-26 04:01:35.514881
88,"""LTC"" ",-0.016,"""FTX LTC ",2022-05-26 04:01:35.514881
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-26 04:01:35.514881
93,"""ETC"" ",0.000644,"""Binance ETC ",2022-05-26 04:01:35.514881
95,"""ETC"" ",0.00984784,"""dYdX ETC ",2022-05-26 04:01:35.514881
97,"""ETC"" ",-0.0152,"""FTX ETC ",2022-05-26 04:01:35.514881
101,"""EOS"" ",0.005422,"""Binance EOS ",2022-05-26 04:01:35.514881
103,"""EOS"" ",0.00946008,"""dYdX EOS ",2022-05-26 04:01:35.514881
105,"""EOS"" ",-0.0288,"""FTX EOS ",2022-05-26 04:01:35.514881
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-26 04:01:35.514881
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-26 04:01:35.514881
112,"""DOGE"" ",0.00908656,"""dYdX DOGE ",2022-05-26 04:01:35.514881
114,"""DOGE"" ",-0.0056,"""FTX DOGE ",2022-05-26 04:01:35.514881
116,"""DOGE"" ",0.0419,"""BitMEX DOGE ",2022-05-26 04:01:35.514881
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-26 04:01:35.514881
121,"""1INCH"" ",-0.00116192,"""dYdX 1INCH ",2022-05-26 04:01:35.514881
123,"""1INCH"" ",-0.0384,"""FTX 1INCH ",2022-05-26 04:01:35.514881
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-26 04:01:35.514881
