,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-27 04:01:29.514568
11,"""BTC"" ",-0.00638776,"""dYdX BTC ",2022-05-27 04:01:29.514568
13,"""BTC"" ",0.0072,"""FTX BTC ",2022-05-27 04:01:29.514568
15,"""BTC"" ",-0.0035,"""BitMEX BTC ",2022-05-27 04:01:29.514568
18,"""ETH"" ",0.01,"""Binance ETH ",2022-05-27 04:01:29.514568
20,"""ETH"" ",0.00900808,"""dYdX ETH ",2022-05-27 04:01:29.514568
22,"""ETH"" ",0.0,"""FTX ETH ",2022-05-27 04:01:29.514568
24,"""ETH"" ",0.0555,"""BitMEX ETH ",2022-05-27 04:01:29.514568
27,"""XRP"" ",-0.018376,"""Binance XRP ",2022-05-27 04:01:29.514568
30,"""XRP"" ",-0.004,"""FTX XRP ",2022-05-27 04:01:29.514568
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-27 04:01:29.514568
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-27 04:01:29.514568
37,"""BCH"" ",0.0100208,"""dYdX BCH ",2022-05-27 04:01:29.514568
39,"""BCH"" ",-0.0152,"""FTX BCH ",2022-05-27 04:01:29.514568
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-27 04:01:29.514568
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-27 04:01:29.514568
46,"""COMP"" ",0.01208208,"""dYdX COMP ",2022-05-27 04:01:29.514568
48,"""COMP"" ",-0.016,"""FTX COMP ",2022-05-27 04:01:29.514568
52,"""KNC"" ",0.01,"""Binance KNC ",2022-05-27 04:01:29.514568
55,"""KNC"" ",-0.0048,"""FTX KNC ",2022-05-27 04:01:29.514568
59,"""LINK"" ",-0.011896,"""Binance LINK ",2022-05-27 04:01:29.514568
61,"""LINK"" ",0.00645416,"""dYdX LINK ",2022-05-27 04:01:29.514568
63,"""LINK"" ",-0.0288,"""FTX LINK ",2022-05-27 04:01:29.514568
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-27 04:01:29.514568
68,"""XTZ"" ",0.003448,"""Binance XTZ ",2022-05-27 04:01:29.514568
70,"""XTZ"" ",0.00097176,"""dYdX XTZ ",2022-05-27 04:01:29.514568
72,"""XTZ"" ",-0.0176,"""FTX XTZ ",2022-05-27 04:01:29.514568
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-27 04:01:29.514568
79,"""BNB"" ",-0.0424,"""FTX BNB ",2022-05-27 04:01:29.514568
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-27 04:01:29.514568
84,"""LTC"" ",-0.017737,"""Binance LTC ",2022-05-27 04:01:29.514568
86,"""LTC"" ",0.0089416,"""dYdX LTC ",2022-05-27 04:01:29.514568
88,"""LTC"" ",-0.0192,"""FTX LTC ",2022-05-27 04:01:29.514568
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-27 04:01:29.514568
93,"""ETC"" ",0.005148,"""Binance ETC ",2022-05-27 04:01:29.514568
95,"""ETC"" ",0.0091564,"""dYdX ETC ",2022-05-27 04:01:29.514568
97,"""ETC"" ",-0.02,"""FTX ETC ",2022-05-27 04:01:29.514568
101,"""EOS"" ",-0.025046,"""Binance EOS ",2022-05-27 04:01:29.514568
103,"""EOS"" ",-0.00127272,"""dYdX EOS ",2022-05-27 04:01:29.514568
105,"""EOS"" ",-0.0464,"""FTX EOS ",2022-05-27 04:01:29.514568
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-27 04:01:29.514568
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-27 04:01:29.514568
112,"""DOGE"" ",0.00051912,"""dYdX DOGE ",2022-05-27 04:01:29.514568
114,"""DOGE"" ",-0.0216,"""FTX DOGE ",2022-05-27 04:01:29.514568
116,"""DOGE"" ",0.0204,"""BitMEX DOGE ",2022-05-27 04:01:29.514568
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-27 04:01:29.514568
121,"""1INCH"" ",0.00171376,"""dYdX 1INCH ",2022-05-27 04:01:29.514568
123,"""1INCH"" ",-0.0184,"""FTX 1INCH ",2022-05-27 04:01:29.514568
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-27 04:01:29.514568
129,"""AAVE"" ",0.00289704,"""dYdX AAVE ",2022-05-27 04:01:29.514568
131,"""AAVE"" ",-0.0176,"""FTX AAVE ",2022-05-27 04:01:29.514568
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-27 04:01:29.514568
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-27 04:01:29.514568
143,"""ADA"" ",-0.00536608,"""dYdX ADA ",2022-05-27 04:01:29.514568
145,"""ADA"" ",-0.0248,"""FTX ADA ",2022-05-27 04:01:29.514568
147,"""ADA"" ",0.0377,"""BitMEX ADA ",2022-05-27 04:01:29.514568
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-27 04:01:29.514568
158,"""AGLD"" ",-0.0344,"""FTX AGLD ",2022-05-27 04:01:29.514568
162,"""AKRO"" ",0.083221,"""Binance AKRO ",2022-05-27 04:01:29.514568
170,"""ALCX"" ",-0.0896,"""FTX ALCX ",2022-05-27 04:01:29.514568
174,"""ALGO"" ",0.002378,"""Binance ALGO ",2022-05-27 04:01:29.514568
176,"""ALGO"" ",0.01,"""dYdX ALGO ",2022-05-27 04:01:29.514568
178,"""ALGO"" ",-0.0224,"""FTX ALGO ",2022-05-27 04:01:29.514568
182,"""ALICE"" ",0.021982,"""Binance ALICE ",2022-05-27 04:01:29.514568
185,"""ALICE"" ",-0.0184,"""FTX ALICE ",2022-05-27 04:01:29.514568
189,"""ALPHA"" ",0.069044,"""Binance ALPHA ",2022-05-27 04:01:29.514568
192,"""ALPHA"" ",-0.052,"""FTX ALPHA ",2022-05-27 04:01:29.514568
199,"""ALTME"" ",0.01,"""BitMEX ALTME ",2022-05-27 04:01:29.514568
205,"""ALTMEXTT"" ",1.1626,"""BitMEX ALTMEXTT ",2022-05-27 04:01:29.514568
210,"""AMC"" ",0.0,"""FTX AMC ",2022-05-27 04:01:29.514568
216,"""ANC"" ",-0.5912,"""FTX ANC ",2022-05-27 04:01:29.514568
220,"""ANKR"" ",0.144693,"""Binance ANKR ",2022-05-27 04:01:29.514568
228,"""APE"" ",-0.0216,"""FTX APE ",2022-05-27 04:01:29.514568
230,"""APE"" ",-0.0902,"""BitMEX APE ",2022-05-27 04:01:29.514568
236,"""APET"" ",-0.0352,"""BitMEX APET ",2022-05-27 04:01:29.514568
241,"""AR"" ",-0.0368,"""FTX AR ",2022-05-27 04:01:29.514568
247,"""ASD"" ",-0.0776,"""FTX ASD ",2022-05-27 04:01:29.514568
253,"""ATLAS"" ",-0.3816,"""FTX ATLAS ",2022-05-27 04:01:29.514568
257,"""ATOM"" ",0.00242,"""Binance ATOM ",2022-05-27 04:01:29.514568
259,"""ATOM"" ",0.00060824,"""dYdX ATOM ",2022-05-27 04:01:29.514568
