,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-24 12:02:30.208401
11,"""BTC"" ",0.00410648,"""dYdX BTC ",2022-05-24 12:02:30.208401
13,"""BTC"" ",0.0024,"""FTX BTC ",2022-05-24 12:02:30.208401
15,"""BTC"" ",-0.0087,"""BitMEX BTC ",2022-05-24 12:02:30.208401
18,"""ETH"" ",-0.004871,"""Binance ETH ",2022-05-24 12:02:30.208401
20,"""ETH"" ",0.00081144,"""dYdX ETH ",2022-05-24 12:02:30.208401
22,"""ETH"" ",0.0016,"""FTX ETH ",2022-05-24 12:02:30.208401
24,"""ETH"" ",0.054,"""BitMEX ETH ",2022-05-24 12:02:30.208401
27,"""XRP"" ",-0.010014,"""Binance XRP ",2022-05-24 12:02:30.208401
30,"""XRP"" ",-0.012,"""FTX XRP ",2022-05-24 12:02:30.208401
32,"""XRP"" ",0.0317,"""BitMEX XRP ",2022-05-24 12:02:30.208401
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-24 12:02:30.208401
37,"""BCH"" ",0.00794368,"""dYdX BCH ",2022-05-24 12:02:30.208401
39,"""BCH"" ",0.0,"""FTX BCH ",2022-05-24 12:02:30.208401
41,"""BCH"" ",0.0299,"""BitMEX BCH ",2022-05-24 12:02:30.208401
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-24 12:02:30.208401
46,"""COMP"" ",0.01,"""dYdX COMP ",2022-05-24 12:02:30.208401
48,"""COMP"" ",0.0136,"""FTX COMP ",2022-05-24 12:02:30.208401
52,"""KNC"" ",-0.015474,"""Binance KNC ",2022-05-24 12:02:30.208401
55,"""KNC"" ",0.0,"""FTX KNC ",2022-05-24 12:02:30.208401
59,"""LINK"" ",5e-05,"""Binance LINK ",2022-05-24 12:02:30.208401
61,"""LINK"" ",0.01035224,"""dYdX LINK ",2022-05-24 12:02:30.208401
63,"""LINK"" ",-0.0152,"""FTX LINK ",2022-05-24 12:02:30.208401
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-24 12:02:30.208401
68,"""XTZ"" ",0.002698,"""Binance XTZ ",2022-05-24 12:02:30.208401
70,"""XTZ"" ",0.0,"""dYdX XTZ ",2022-05-24 12:02:30.208401
72,"""XTZ"" ",-0.0096,"""FTX XTZ ",2022-05-24 12:02:30.208401
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-24 12:02:30.208401
79,"""BNB"" ",-0.0248,"""FTX BNB ",2022-05-24 12:02:30.208401
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-24 12:02:30.208401
84,"""LTC"" ",-0.009521,"""Binance LTC ",2022-05-24 12:02:30.208401
86,"""LTC"" ",0.00550616,"""dYdX LTC ",2022-05-24 12:02:30.208401
88,"""LTC"" ",-0.0144,"""FTX LTC ",2022-05-24 12:02:30.208401
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-24 12:02:30.208401
93,"""ETC"" ",-0.018011,"""Binance ETC ",2022-05-24 12:02:30.208401
95,"""ETC"" ",0.01,"""dYdX ETC ",2022-05-24 12:02:30.208401
97,"""ETC"" ",-0.0304,"""FTX ETC ",2022-05-24 12:02:30.208401
101,"""EOS"" ",-0.013017,"""Binance EOS ",2022-05-24 12:02:30.208401
103,"""EOS"" ",0.00597368,"""dYdX EOS ",2022-05-24 12:02:30.208401
105,"""EOS"" ",-0.024,"""FTX EOS ",2022-05-24 12:02:30.208401
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-24 12:02:30.208401
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-24 12:02:30.208401
