,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-27 12:01:41.153997
11,"""BTC"" ",0.03877232,"""dYdX BTC ",2022-05-27 12:01:41.153997
13,"""BTC"" ",0.008,"""FTX BTC ",2022-05-27 12:01:41.153997
15,"""BTC"" ",-0.0243,"""BitMEX BTC ",2022-05-27 12:01:41.153997
18,"""ETH"" ",-0.000153,"""Binance ETH ",2022-05-27 12:01:41.153997
20,"""ETH"" ",0.01899056,"""dYdX ETH ",2022-05-27 12:01:41.153997
22,"""ETH"" ",0.0072,"""FTX ETH ",2022-05-27 12:01:41.153997
24,"""ETH"" ",0.071,"""BitMEX ETH ",2022-05-27 12:01:41.153997
27,"""XRP"" ",0.006368,"""Binance XRP ",2022-05-27 12:01:41.153997
30,"""XRP"" ",0.0104,"""FTX XRP ",2022-05-27 12:01:41.153997
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-27 12:01:41.153997
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-27 12:01:41.153997
37,"""BCH"" ",0.00700216,"""dYdX BCH ",2022-05-27 12:01:41.153997
39,"""BCH"" ",-0.0032,"""FTX BCH ",2022-05-27 12:01:41.153997
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-27 12:01:41.153997
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-27 12:01:41.153997
46,"""COMP"" ",0.01067312,"""dYdX COMP ",2022-05-27 12:01:41.153997
48,"""COMP"" ",0.0064,"""FTX COMP ",2022-05-27 12:01:41.153997
52,"""KNC"" ",-0.015374,"""Binance KNC ",2022-05-27 12:01:41.153997
55,"""KNC"" ",-0.0008,"""FTX KNC ",2022-05-27 12:01:41.153997
59,"""LINK"" ",0.00053,"""Binance LINK ",2022-05-27 12:01:41.153997
61,"""LINK"" ",0.00188664,"""dYdX LINK ",2022-05-27 12:01:41.153997
63,"""LINK"" ",-0.008,"""FTX LINK ",2022-05-27 12:01:41.153997
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-27 12:01:41.153997
68,"""XTZ"" ",0.001619,"""Binance XTZ ",2022-05-27 12:01:41.153997
70,"""XTZ"" ",0.01,"""dYdX XTZ ",2022-05-27 12:01:41.153997
72,"""XTZ"" ",-0.0152,"""FTX XTZ ",2022-05-27 12:01:41.153997
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-27 12:01:41.153997
79,"""BNB"" ",-0.0264,"""FTX BNB ",2022-05-27 12:01:41.153997
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-27 12:01:41.153997
