,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-28 20:00:58.734379
11,"""BTC"" ",-0.00067232,"""dYdX BTC ",2022-05-28 20:00:58.734379
13,"""BTC"" ",0.0056,"""FTX BTC ",2022-05-28 20:00:58.734379
15,"""BTC"" ",-0.004,"""BitMEX BTC ",2022-05-28 20:00:58.734379
18,"""ETH"" ",0.003132,"""Binance ETH ",2022-05-28 20:00:58.734379
20,"""ETH"" ",0.02493544,"""dYdX ETH ",2022-05-28 20:00:58.734379
22,"""ETH"" ",0.0072,"""FTX ETH ",2022-05-28 20:00:58.734379
24,"""ETH"" ",0.0866,"""BitMEX ETH ",2022-05-28 20:00:58.734379
27,"""XRP"" ",0.000832,"""Binance XRP ",2022-05-28 20:00:58.734379
30,"""XRP"" ",-0.0312,"""FTX XRP ",2022-05-28 20:00:58.734379
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-28 20:00:58.734379
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-28 20:00:58.734379
37,"""BCH"" ",0.01,"""dYdX BCH ",2022-05-28 20:00:58.734379
39,"""BCH"" ",0.0008,"""FTX BCH ",2022-05-28 20:00:58.734379
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-28 20:00:58.734379
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-28 20:00:58.734379
46,"""COMP"" ",0.00992376,"""dYdX COMP ",2022-05-28 20:00:58.734379
48,"""COMP"" ",-0.0096,"""FTX COMP ",2022-05-28 20:00:58.734379
52,"""KNC"" ",-0.033938,"""Binance KNC ",2022-05-28 20:00:58.734379
55,"""KNC"" ",0.0096,"""FTX KNC ",2022-05-28 20:00:58.734379
59,"""LINK"" ",0.001348,"""Binance LINK ",2022-05-28 20:00:58.734379
61,"""LINK"" ",0.00414928,"""dYdX LINK ",2022-05-28 20:00:58.734379
63,"""LINK"" ",-0.0152,"""FTX LINK ",2022-05-28 20:00:58.734379
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-28 20:00:58.734379
68,"""XTZ"" ",-0.003617,"""Binance XTZ ",2022-05-28 20:00:58.734379
70,"""XTZ"" ",0.01,"""dYdX XTZ ",2022-05-28 20:00:58.734379
72,"""XTZ"" ",-0.008,"""FTX XTZ ",2022-05-28 20:00:58.734379
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-28 20:00:58.734379
79,"""BNB"" ",-0.0072,"""FTX BNB ",2022-05-28 20:00:58.734379
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-28 20:00:58.734379
84,"""LTC"" ",-0.011017,"""Binance LTC ",2022-05-28 20:00:58.734379
86,"""LTC"" ",0.0060004,"""dYdX LTC ",2022-05-28 20:00:58.734379
88,"""LTC"" ",-0.0096,"""FTX LTC ",2022-05-28 20:00:58.734379
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-28 20:00:58.734379
93,"""ETC"" ",-0.004811,"""Binance ETC ",2022-05-28 20:00:58.734379
95,"""ETC"" ",0.00279968,"""dYdX ETC ",2022-05-28 20:00:58.734379
97,"""ETC"" ",-0.0128,"""FTX ETC ",2022-05-28 20:00:58.734379
101,"""EOS"" ",-0.015545,"""Binance EOS ",2022-05-28 20:00:58.734379
103,"""EOS"" ",0.00531464,"""dYdX EOS ",2022-05-28 20:00:58.734379
105,"""EOS"" ",-0.0408,"""FTX EOS ",2022-05-28 20:00:58.734379
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-28 20:00:58.734379
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-28 20:00:58.734379
112,"""DOGE"" ",-0.00472032,"""dYdX DOGE ",2022-05-28 20:00:58.734379
114,"""DOGE"" ",0.0008,"""FTX DOGE ",2022-05-28 20:00:58.734379
116,"""DOGE"" ",0.01,"""BitMEX DOGE ",2022-05-28 20:00:58.734379
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-28 20:00:58.734379
121,"""1INCH"" ",0.00537264,"""dYdX 1INCH ",2022-05-28 20:00:58.734379
123,"""1INCH"" ",-0.0104,"""FTX 1INCH ",2022-05-28 20:00:58.734379
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-28 20:00:58.734379
129,"""AAVE"" ",0.00907872,"""dYdX AAVE ",2022-05-28 20:00:58.734379
131,"""AAVE"" ",-0.0128,"""FTX AAVE ",2022-05-28 20:00:58.734379
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-28 20:00:58.734379
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-28 20:00:58.734379
143,"""ADA"" ",0.00094552,"""dYdX ADA ",2022-05-28 20:00:58.734379
145,"""ADA"" ",-0.0264,"""FTX ADA ",2022-05-28 20:00:58.734379
147,"""ADA"" ",0.01,"""BitMEX ADA ",2022-05-28 20:00:58.734379
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-28 20:00:58.734379
158,"""AGLD"" ",-0.0096,"""FTX AGLD ",2022-05-28 20:00:58.734379
162,"""AKRO"" ",0.083221,"""Binance AKRO ",2022-05-28 20:00:58.734379
170,"""ALCX"" ",-0.16,"""FTX ALCX ",2022-05-28 20:00:58.734379
174,"""ALGO"" ",0.002378,"""Binance ALGO ",2022-05-28 20:00:58.734379
176,"""ALGO"" ",0.01,"""dYdX ALGO ",2022-05-28 20:00:58.734379
