,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-28 12:00:55.072416
11,"""BTC"" ",0.012868,"""dYdX BTC ",2022-05-28 12:00:55.072416
13,"""BTC"" ",0.008,"""FTX BTC ",2022-05-28 12:00:55.072416
15,"""BTC"" ",-0.0028,"""BitMEX BTC ",2022-05-28 12:00:55.072416
18,"""ETH"" ",0.006376,"""Binance ETH ",2022-05-28 12:00:55.072416
20,"""ETH"" ",0.01283864,"""dYdX ETH ",2022-05-28 12:00:55.072416
22,"""ETH"" ",0.008,"""FTX ETH ",2022-05-28 12:00:55.072416
24,"""ETH"" ",0.0562,"""BitMEX ETH ",2022-05-28 12:00:55.072416
27,"""XRP"" ",-0.003002,"""Binance XRP ",2022-05-28 12:00:55.072416
30,"""XRP"" ",-0.0248,"""FTX XRP ",2022-05-28 12:00:55.072416
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-28 12:00:55.072416
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-28 12:00:55.072416
37,"""BCH"" ",0.01,"""dYdX BCH ",2022-05-28 12:00:55.072416
39,"""BCH"" ",0.0104,"""FTX BCH ",2022-05-28 12:00:55.072416
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-28 12:00:55.072416
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-28 12:00:55.072416
46,"""COMP"" ",0.00742888,"""dYdX COMP ",2022-05-28 12:00:55.072416
48,"""COMP"" ",-0.0136,"""FTX COMP ",2022-05-28 12:00:55.072416
52,"""KNC"" ",-0.045342,"""Binance KNC ",2022-05-28 12:00:55.072416
55,"""KNC"" ",0.0096,"""FTX KNC ",2022-05-28 12:00:55.072416
59,"""LINK"" ",-0.002343,"""Binance LINK ",2022-05-28 12:00:55.072416
61,"""LINK"" ",0.00364256,"""dYdX LINK ",2022-05-28 12:00:55.072416
63,"""LINK"" ",-0.0128,"""FTX LINK ",2022-05-28 12:00:55.072416
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-28 12:00:55.072416
68,"""XTZ"" ",0.008559,"""Binance XTZ ",2022-05-28 12:00:55.072416
70,"""XTZ"" ",0.01,"""dYdX XTZ ",2022-05-28 12:00:55.072416
72,"""XTZ"" ",0.0064,"""FTX XTZ ",2022-05-28 12:00:55.072416
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-28 12:00:55.072416
79,"""BNB"" ",-0.0232,"""FTX BNB ",2022-05-28 12:00:55.072416
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-28 12:00:55.072416
84,"""LTC"" ",-0.003307,"""Binance LTC ",2022-05-28 12:00:55.072416
86,"""LTC"" ",0.0071684,"""dYdX LTC ",2022-05-28 12:00:55.072416
88,"""LTC"" ",-0.0008,"""FTX LTC ",2022-05-28 12:00:55.072416
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-28 12:00:55.072416
93,"""ETC"" ",-0.001252,"""Binance ETC ",2022-05-28 12:00:55.072416
95,"""ETC"" ",0.0078948,"""dYdX ETC ",2022-05-28 12:00:55.072416
97,"""ETC"" ",-0.0176,"""FTX ETC ",2022-05-28 12:00:55.072416
101,"""EOS"" ",-0.007395,"""Binance EOS ",2022-05-28 12:00:55.072416
103,"""EOS"" ",0.00747536,"""dYdX EOS ",2022-05-28 12:00:55.072416
105,"""EOS"" ",-0.0336,"""FTX EOS ",2022-05-28 12:00:55.072416
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-28 12:00:55.072416
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-28 12:00:55.072416
112,"""DOGE"" ",0.00700992,"""dYdX DOGE ",2022-05-28 12:00:55.072416
114,"""DOGE"" ",-0.004,"""FTX DOGE ",2022-05-28 12:00:55.072416
116,"""DOGE"" ",0.01,"""BitMEX DOGE ",2022-05-28 12:00:55.072416
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-28 12:00:55.072416
121,"""1INCH"" ",7.296e-05,"""dYdX 1INCH ",2022-05-28 12:00:55.072416
123,"""1INCH"" ",-0.0208,"""FTX 1INCH ",2022-05-28 12:00:55.072416
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-28 12:00:55.072416
129,"""AAVE"" ",0.0012524,"""dYdX AAVE ",2022-05-28 12:00:55.072416
131,"""AAVE"" ",0.0008,"""FTX AAVE ",2022-05-28 12:00:55.072416
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-28 12:00:55.072416
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-28 12:00:55.072416
143,"""ADA"" ",-0.00635608,"""dYdX ADA ",2022-05-28 12:00:55.072416
145,"""ADA"" ",-0.0176,"""FTX ADA ",2022-05-28 12:00:55.072416
147,"""ADA"" ",0.01,"""BitMEX ADA ",2022-05-28 12:00:55.072416
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-28 12:00:55.072416
158,"""AGLD"" ",-0.0336,"""FTX AGLD ",2022-05-28 12:00:55.072416
162,"""AKRO"" ",0.083221,"""Binance AKRO ",2022-05-28 12:00:55.072416
170,"""ALCX"" ",-0.1472,"""FTX ALCX ",2022-05-28 12:00:55.072416
174,"""ALGO"" ",0.002378,"""Binance ALGO ",2022-05-28 12:00:55.072416
176,"""ALGO"" ",0.00895272,"""dYdX ALGO ",2022-05-28 12:00:55.072416
178,"""ALGO"" ",-0.0056,"""FTX ALGO ",2022-05-28 12:00:55.072416
182,"""ALICE"" ",0.021982,"""Binance ALICE ",2022-05-28 12:00:55.072416
185,"""ALICE"" ",-0.0352,"""FTX ALICE ",2022-05-28 12:00:55.072416
189,"""ALPHA"" ",0.069044,"""Binance ALPHA ",2022-05-28 12:00:55.072416
192,"""ALPHA"" ",-0.0408,"""FTX ALPHA ",2022-05-28 12:00:55.072416
199,"""ALTME"" ",0.01,"""BitMEX ALTME ",2022-05-28 12:00:55.072416
205,"""ALTMEXTT"" ",0.9606,"""BitMEX ALTMEXTT ",2022-05-28 12:00:55.072416
210,"""AMC"" ",0.0,"""FTX AMC ",2022-05-28 12:00:55.072416
216,"""ANC"" ",-1.5016,"""FTX ANC ",2022-05-28 12:00:55.072416
220,"""ANKR"" ",0.144693,"""Binance ANKR ",2022-05-28 12:00:55.072416
228,"""APE"" ",-0.0264,"""FTX APE ",2022-05-28 12:00:55.072416
230,"""APE"" ",0.01,"""BitMEX APE ",2022-05-28 12:00:55.072416
236,"""APET"" ",-0.0325,"""BitMEX APET ",2022-05-28 12:00:55.072416
241,"""AR"" ",0.0184,"""FTX AR ",2022-05-28 12:00:55.072416
247,"""ASD"" ",-0.068,"""FTX ASD ",2022-05-28 12:00:55.072416
253,"""ATLAS"" ",-0.1232,"""FTX ATLAS ",2022-05-28 12:00:55.072416
257,"""ATOM"" ",0.00242,"""Binance ATOM ",2022-05-28 12:00:55.072416
259,"""ATOM"" ",0.00834056,"""dYdX ATOM ",2022-05-28 12:00:55.072416
261,"""ATOM"" ",-0.0256,"""FTX ATOM ",2022-05-28 12:00:55.072416
267,"""AUDIO"" ",-0.0008,"""FTX AUDIO ",2022-05-28 12:00:55.072416
271,"""AVAX"" ",0.173657,"""Binance AVAX ",2022-05-28 12:00:55.072416
273,"""AVAX"" ",0.00529416,"""dYdX AVAX ",2022-05-28 12:00:55.072416
275,"""AVAX"" ",-0.0296,"""FTX AVAX ",2022-05-28 12:00:55.072416
277,"""AVAX"" ",0.01,"""BitMEX AVAX ",2022-05-28 12:00:55.072416
283,"""AVAXT"" ",0.01,"""BitMEX AVAXT ",2022-05-28 12:00:55.072416
286,"""AXS"" ",0.15546,"""Binance AXS ",2022-05-28 12:00:55.072416
289,"""AXS"" ",-0.092,"""FTX AXS ",2022-05-28 12:00:55.072416
291,"""AXS"" ",-0.0739,"""BitMEX AXS ",2022-05-28 12:00:55.072416
