,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-24 04:00:51.149289
11,"""BTC"" ",-0.01537096,"""dYdX BTC ",2022-05-24 04:00:51.149289
13,"""BTC"" ",-0.008,"""FTX BTC ",2022-05-24 04:00:51.149289
15,"""BTC"" ",0.0043,"""BitMEX BTC ",2022-05-24 04:00:51.149289
18,"""ETH"" ",-0.00786,"""Binance ETH ",2022-05-24 04:00:51.149289
20,"""ETH"" ",-0.00184216,"""dYdX ETH ",2022-05-24 04:00:51.149289
22,"""ETH"" ",-0.0016,"""FTX ETH ",2022-05-24 04:00:51.149289
24,"""ETH"" ",0.0788,"""BitMEX ETH ",2022-05-24 04:00:51.149289
27,"""XRP"" ",-0.018746,"""Binance XRP ",2022-05-24 04:00:51.149289
30,"""XRP"" ",0.0024,"""FTX XRP ",2022-05-24 04:00:51.149289
32,"""XRP"" ",0.0334,"""BitMEX XRP ",2022-05-24 04:00:51.149289
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-24 04:00:51.149289
37,"""BCH"" ",0.01000528,"""dYdX BCH ",2022-05-24 04:00:51.149289
39,"""BCH"" ",-0.0128,"""FTX BCH ",2022-05-24 04:00:51.149289
41,"""BCH"" ",0.0399,"""BitMEX BCH ",2022-05-24 04:00:51.149289
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-24 04:00:51.149289
46,"""COMP"" ",0.01,"""dYdX COMP ",2022-05-24 04:00:51.149289
48,"""COMP"" ",0.0104,"""FTX COMP ",2022-05-24 04:00:51.149289
52,"""KNC"" ",-0.01175,"""Binance KNC ",2022-05-24 04:00:51.149289
55,"""KNC"" ",-0.0144,"""FTX KNC ",2022-05-24 04:00:51.149289
59,"""LINK"" ",-0.003596,"""Binance LINK ",2022-05-24 04:00:51.149289
61,"""LINK"" ",0.00290168,"""dYdX LINK ",2022-05-24 04:00:51.149289
63,"""LINK"" ",-0.0048,"""FTX LINK ",2022-05-24 04:00:51.149289
65,"""LINK"" ",0.0174,"""BitMEX LINK ",2022-05-24 04:00:51.149289
68,"""XTZ"" ",0.009411,"""Binance XTZ ",2022-05-24 04:00:51.149289
70,"""XTZ"" ",0.0,"""dYdX XTZ ",2022-05-24 04:00:51.149289
72,"""XTZ"" ",-0.0064,"""FTX XTZ ",2022-05-24 04:00:51.149289
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-24 04:00:51.149289
79,"""BNB"" ",-0.0144,"""FTX BNB ",2022-05-24 04:00:51.149289
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-24 04:00:51.149289
