,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-23 22:23:49.165557
11,"""BTC"" ",-0.01380456,"""dYdX BTC ",2022-05-23 22:23:49.165557
13,"""BTC"" ",-0.016,"""FTX BTC ",2022-05-23 22:23:49.165557
15,"""BTC"" ",0.0043,"""BitMEX BTC ",2022-05-23 22:23:49.165557
18,"""ETH"" ",0.01,"""Binance ETH ",2022-05-23 22:23:49.165557
20,"""ETH"" ",0.00342976,"""dYdX ETH ",2022-05-23 22:23:49.165557
22,"""ETH"" ",-0.0024,"""FTX ETH ",2022-05-23 22:23:49.165557
24,"""ETH"" ",0.0788,"""BitMEX ETH ",2022-05-23 22:23:49.165557
27,"""XRP"" ",0.006868,"""Binance XRP ",2022-05-23 22:23:49.165557
30,"""XRP"" ",-0.0008,"""FTX XRP ",2022-05-23 22:23:49.165557
32,"""XRP"" ",0.0334,"""BitMEX XRP ",2022-05-23 22:23:49.165557
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-23 22:23:49.165557
37,"""BCH"" ",0.01029864,"""dYdX BCH ",2022-05-23 22:23:49.165557
39,"""BCH"" ",-0.0016,"""FTX BCH ",2022-05-23 22:23:49.165557
41,"""BCH"" ",0.0399,"""BitMEX BCH ",2022-05-23 22:23:49.165557
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-23 22:23:49.165557
46,"""COMP"" ",0.01,"""dYdX COMP ",2022-05-23 22:23:49.165557
48,"""COMP"" ",0.012,"""FTX COMP ",2022-05-23 22:23:49.165557
52,"""KNC"" ",-0.019551,"""Binance KNC ",2022-05-23 22:23:49.165557
55,"""KNC"" ",-0.008,"""FTX KNC ",2022-05-23 22:23:49.165557
59,"""LINK"" ",0.01,"""Binance LINK ",2022-05-23 22:23:49.165557
61,"""LINK"" ",0.00732088,"""dYdX LINK ",2022-05-23 22:23:49.165557
63,"""LINK"" ",-0.0176,"""FTX LINK ",2022-05-23 22:23:49.165557
65,"""LINK"" ",0.0174,"""BitMEX LINK ",2022-05-23 22:23:49.165557
68,"""XTZ"" ",0.008752,"""Binance XTZ ",2022-05-23 22:23:49.165557
70,"""XTZ"" ",0.0,"""dYdX XTZ ",2022-05-23 22:23:49.165557
72,"""XTZ"" ",-0.008,"""FTX XTZ ",2022-05-23 22:23:49.165557
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-23 22:23:49.165557
79,"""BNB"" ",-0.0096,"""FTX BNB ",2022-05-23 22:23:49.165557
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-23 22:23:49.165557
84,"""LTC"" ",0.005301,"""Binance LTC ",2022-05-23 22:23:49.165557
86,"""LTC"" ",0.0052244,"""dYdX LTC ",2022-05-23 22:23:49.165557
88,"""LTC"" ",-0.0184,"""FTX LTC ",2022-05-23 22:23:49.165557
90,"""LTC"" ",0.0242,"""BitMEX LTC ",2022-05-23 22:23:49.165557
93,"""ETC"" ",0.001069,"""Binance ETC ",2022-05-23 22:23:49.165557
95,"""ETC"" ",0.01,"""dYdX ETC ",2022-05-23 22:23:49.165557
97,"""ETC"" ",-0.0256,"""FTX ETC ",2022-05-23 22:23:49.165557
101,"""EOS"" ",0.01,"""Binance EOS ",2022-05-23 22:23:49.165557
103,"""EOS"" ",0.0082268,"""dYdX EOS ",2022-05-23 22:23:49.165557
105,"""EOS"" ",-0.024,"""FTX EOS ",2022-05-23 22:23:49.165557
107,"""EOS"" ",0.01,"""BitMEX EOS ",2022-05-23 22:23:49.165557
110,"""DOGE"" ",0.01,"""Binance DOGE ",2022-05-23 22:23:49.165557
112,"""DOGE"" ",0.00923744,"""dYdX DOGE ",2022-05-23 22:23:49.165557
114,"""DOGE"" ",-0.0048,"""FTX DOGE ",2022-05-23 22:23:49.165557
116,"""DOGE"" ",0.0618,"""BitMEX DOGE ",2022-05-23 22:23:49.165557
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-23 22:23:49.165557
121,"""1INCH"" ",0.00140264,"""dYdX 1INCH ",2022-05-23 22:23:49.165557
123,"""1INCH"" ",-0.012,"""FTX 1INCH ",2022-05-23 22:23:49.165557
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-23 22:23:49.165557
129,"""AAVE"" ",0.01430448,"""dYdX AAVE ",2022-05-23 22:23:49.165557
131,"""AAVE"" ",-0.0056,"""FTX AAVE ",2022-05-23 22:23:49.165557
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-23 22:23:49.165557
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-23 22:23:49.165557
143,"""ADA"" ",0.00563336,"""dYdX ADA ",2022-05-23 22:23:49.165557
145,"""ADA"" ",-0.012,"""FTX ADA ",2022-05-23 22:23:49.165557
147,"""ADA"" ",0.0738,"""BitMEX ADA ",2022-05-23 22:23:49.165557
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-23 22:23:49.165557
158,"""AGLD"" ",-0.0192,"""FTX AGLD ",2022-05-23 22:23:49.165557
162,"""AKRO"" ",0.083221,"""Binance AKRO ",2022-05-23 22:23:49.165557
170,"""ALCX"" ",0.0008,"""FTX ALCX ",2022-05-23 22:23:49.165557
174,"""ALGO"" ",0.002378,"""Binance ALGO ",2022-05-23 22:23:49.165557
176,"""ALGO"" ",0.00939896,"""dYdX ALGO ",2022-05-23 22:23:49.165557
178,"""ALGO"" ",0.0024,"""FTX ALGO ",2022-05-23 22:23:49.165557
182,"""ALICE"" ",0.021982,"""Binance ALICE ",2022-05-23 22:23:49.165557
185,"""ALICE"" ",-0.0496,"""FTX ALICE ",2022-05-23 22:23:49.165557
189,"""ALPHA"" ",0.069044,"""Binance ALPHA ",2022-05-23 22:23:49.165557
192,"""ALPHA"" ",-0.0368,"""FTX ALPHA ",2022-05-23 22:23:49.165557
199,"""ALTME"" ",0.01,"""BitMEX ALTME ",2022-05-23 22:23:49.165557
205,"""ALTMEXTT"" ",1.5,"""BitMEX ALTMEXTT ",2022-05-23 22:23:49.165557
210,"""AMC"" ",0.0,"""FTX AMC ",2022-05-23 22:23:49.165557
216,"""ANC"" ",-2.9064,"""FTX ANC ",2022-05-23 22:23:49.165557
220,"""ANKR"" ",0.144693,"""Binance ANKR ",2022-05-23 22:23:49.165557
228,"""APE"" ",-0.0192,"""FTX APE ",2022-05-23 22:23:49.165557
230,"""APE"" ",0.01,"""BitMEX APE ",2022-05-23 22:23:49.165557
236,"""APET"" ",0.01,"""BitMEX APET ",2022-05-23 22:23:49.165557
241,"""AR"" ",0.0016,"""FTX AR ",2022-05-23 22:23:49.165557
247,"""ASD"" ",-0.0432,"""FTX ASD ",2022-05-23 22:23:49.165557
253,"""ATLAS"" ",-0.2568,"""FTX ATLAS ",2022-05-23 22:23:49.165557
257,"""ATOM"" ",0.00242,"""Binance ATOM ",2022-05-23 22:23:49.165557
259,"""ATOM"" ",0.00918904,"""dYdX ATOM ",2022-05-23 22:23:49.165557
261,"""ATOM"" ",-0.0304,"""FTX ATOM ",2022-05-23 22:23:49.165557
267,"""AUDIO"" ",-0.0016,"""FTX AUDIO ",2022-05-23 22:23:49.165557
