,Crypto,Funding Rate,Exchange,date_time
9,"""BTC"" ",-0.008009,"""Binance BTC ",2022-05-25 04:01:32.507238
11,"""BTC"" ",0.031274,"""dYdX BTC ",2022-05-25 04:01:32.507238
13,"""BTC"" ",0.004,"""FTX BTC ",2022-05-25 04:01:32.507238
15,"""BTC"" ",-0.019,"""BitMEX BTC ",2022-05-25 04:01:32.507238
18,"""ETH"" ",0.001228,"""Binance ETH ",2022-05-25 04:01:32.507238
20,"""ETH"" ",0.01558296,"""dYdX ETH ",2022-05-25 04:01:32.507238
22,"""ETH"" ",0.0096,"""FTX ETH ",2022-05-25 04:01:32.507238
24,"""ETH"" ",0.0471,"""BitMEX ETH ",2022-05-25 04:01:32.507238
27,"""XRP"" ",-0.004944,"""Binance XRP ",2022-05-25 04:01:32.507238
30,"""XRP"" ",-0.0152,"""FTX XRP ",2022-05-25 04:01:32.507238
32,"""XRP"" ",0.01,"""BitMEX XRP ",2022-05-25 04:01:32.507238
35,"""BCH"" ",-0.008622,"""Binance BCH ",2022-05-25 04:01:32.507238
37,"""BCH"" ",0.01061528,"""dYdX BCH ",2022-05-25 04:01:32.507238
39,"""BCH"" ",-0.008,"""FTX BCH ",2022-05-25 04:01:32.507238
41,"""BCH"" ",0.01,"""BitMEX BCH ",2022-05-25 04:01:32.507238
44,"""COMP"" ",0.01,"""Binance COMP ",2022-05-25 04:01:32.507238
46,"""COMP"" ",0.01011736,"""dYdX COMP ",2022-05-25 04:01:32.507238
48,"""COMP"" ",0.008,"""FTX COMP ",2022-05-25 04:01:32.507238
52,"""KNC"" ",-0.065514,"""Binance KNC ",2022-05-25 04:01:32.507238
55,"""KNC"" ",-0.0544,"""FTX KNC ",2022-05-25 04:01:32.507238
59,"""LINK"" ",-0.002562,"""Binance LINK ",2022-05-25 04:01:32.507238
61,"""LINK"" ",0.01280568,"""dYdX LINK ",2022-05-25 04:01:32.507238
63,"""LINK"" ",-0.0128,"""FTX LINK ",2022-05-25 04:01:32.507238
65,"""LINK"" ",0.01,"""BitMEX LINK ",2022-05-25 04:01:32.507238
68,"""XTZ"" ",0.01,"""Binance XTZ ",2022-05-25 04:01:32.507238
70,"""XTZ"" ",-0.003628,"""dYdX XTZ ",2022-05-25 04:01:32.507238
72,"""XTZ"" ",-0.0032,"""FTX XTZ ",2022-05-25 04:01:32.507238
76,"""BNB"" ",-0.024568,"""Binance BNB ",2022-05-25 04:01:32.507238
79,"""BNB"" ",0.0008,"""FTX BNB ",2022-05-25 04:01:32.507238
81,"""BNB"" ",0.01,"""BitMEX BNB ",2022-05-25 04:01:32.507238
84,"""LTC"" ",-0.005,"""Binance LTC ",2022-05-25 04:01:32.507238
86,"""LTC"" ",0.00784352,"""dYdX LTC ",2022-05-25 04:01:32.507238
88,"""LTC"" ",0.0,"""FTX LTC ",2022-05-25 04:01:32.507238
90,"""LTC"" ",0.01,"""BitMEX LTC ",2022-05-25 04:01:32.507238
93,"""ETC"" ",-0.016692,"""Binance ETC ",2022-05-25 04:01:32.507238
95,"""ETC"" ",0.0067272,"""dYdX ETC ",2022-05-25 04:01:32.507238
97,"""ETC"" ",-0.0296,"""FTX ETC ",2022-05-25 04:01:32.507238
101,"""EOS"" ",0.006056,"""Binance EOS ",2022-05-25 04:01:32.507238
103,"""EOS"" ",0.00929144,"""dYdX EOS ",2022-05-25 04:01:32.507238
105,"""EOS"" ",-0.0064,"""FTX EOS ",2022-05-25 04:01:32.507238
107,"""EOS"" ",0.0124,"""BitMEX EOS ",2022-05-25 04:01:32.507238
110,"""DOGE"" ",-0.022276,"""Binance DOGE ",2022-05-25 04:01:32.507238
112,"""DOGE"" ",0.00933816,"""dYdX DOGE ",2022-05-25 04:01:32.507238
114,"""DOGE"" ",-0.0008,"""FTX DOGE ",2022-05-25 04:01:32.507238
116,"""DOGE"" ",0.0339,"""BitMEX DOGE ",2022-05-25 04:01:32.507238
119,"""1INCH"" ",0.151959,"""Binance 1INCH ",2022-05-25 04:01:32.507238
121,"""1INCH"" ",-0.0027652,"""dYdX 1INCH ",2022-05-25 04:01:32.507238
123,"""1INCH"" ",-0.024,"""FTX 1INCH ",2022-05-25 04:01:32.507238
127,"""AAVE"" ",0.115395,"""Binance AAVE ",2022-05-25 04:01:32.507238
129,"""AAVE"" ",0.00893616,"""dYdX AAVE ",2022-05-25 04:01:32.507238
131,"""AAVE"" ",0.0184,"""FTX AAVE ",2022-05-25 04:01:32.507238
138,"""AAVET"" ",0.1941,"""BitMEX AAVET ",2022-05-25 04:01:32.507238
141,"""ADA"" ",-0.010408,"""Binance ADA ",2022-05-25 04:01:32.507238
143,"""ADA"" ",0.00951728,"""dYdX ADA ",2022-05-25 04:01:32.507238
145,"""ADA"" ",-0.012,"""FTX ADA ",2022-05-25 04:01:32.507238
147,"""ADA"" ",0.0437,"""BitMEX ADA ",2022-05-25 04:01:32.507238
153,"""ADAT"" ",0.01,"""BitMEX ADAT ",2022-05-25 04:01:32.507238
158,"""AGLD"" ",0.0104,"""FTX AGLD ",2022-05-25 04:01:32.507238
162,"""AKRO"" ",0.083221,"""Binance AKRO ",2022-05-25 04:01:32.507238
170,"""ALCX"" ",-0.0656,"""FTX ALCX ",2022-05-25 04:01:32.507238
174,"""ALGO"" ",0.002378,"""Binance ALGO ",2022-05-25 04:01:32.507238
176,"""ALGO"" ",0.00926176,"""dYdX ALGO ",2022-05-25 04:01:32.507238
178,"""ALGO"" ",-0.016,"""FTX ALGO ",2022-05-25 04:01:32.507238
182,"""ALICE"" ",0.021982,"""Binance ALICE ",2022-05-25 04:01:32.507238
185,"""ALICE"" ",-0.0208,"""FTX ALICE ",2022-05-25 04:01:32.507238
189,"""ALPHA"" ",0.069044,"""Binance ALPHA ",2022-05-25 04:01:32.507238
192,"""ALPHA"" ",-0.0384,"""FTX ALPHA ",2022-05-25 04:01:32.507238
