,Crypto,Funding Rate,Exchange,date_time
1167,"""NEARBUSD"" ",-0.060426,"""Binance NEARBUSD ",2022-05-28 04:00:53.054651
1176,"""NEART"" ",0.01,"""BitMEX NEART ",2022-05-28 04:00:53.054651
1179,"""NEO"" ",-0.03083,"""Binance NEO ",2022-05-28 04:00:53.054651
1182,"""NEO"" ",-0.0248,"""FTX NEO ",2022-05-28 04:00:53.054651
1186,"""NKN"" ",-0.037508,"""Binance NKN ",2022-05-28 04:00:53.054651
1194,"""NPXS"" ",-3.1072,"""FTX NPXS ",2022-05-28 04:00:53.054651
1198,"""NU"" ",-0.231514,"""Binance NU ",2022-05-28 04:00:53.054651
1204,"""OCEAN"" ",-0.020052,"""Binance OCEAN ",2022-05-28 04:00:53.054651
1210,"""OGN"" ",-0.031103,"""Binance OGN ",2022-05-28 04:00:53.054651
1218,"""OKB"" ",-0.0176,"""FTX OKB ",2022-05-28 04:00:53.054651
1222,"""OMG"" ",0.01,"""Binance OMG ",2022-05-28 04:00:53.054651
1225,"""OMG"" ",-0.0128,"""FTX OMG ",2022-05-28 04:00:53.054651
1229,"""ONE"" ",-0.021361,"""Binance ONE ",2022-05-28 04:00:53.054651
1232,"""ONE"" ",-0.0344,"""FTX ONE ",2022-05-28 04:00:53.054651
1236,"""ONT"" ",-0.012505,"""Binance ONT ",2022-05-28 04:00:53.054651
1239,"""ONT"" ",-0.0272,"""FTX ONT ",2022-05-28 04:00:53.054651
1245,"""ORBS"" ",-0.1224,"""FTX ORBS ",2022-05-28 04:00:53.054651
1251,"""OXY"" ",-0.2264,"""FTX OXY ",2022-05-28 04:00:53.054651
1257,"""PAXG"" ",-0.008,"""FTX PAXG ",2022-05-28 04:00:53.054651
1261,"""PEOPL"" ",0.01,"""Binance PEOPL ",2022-05-28 04:00:53.054651
1264,"""PEOPL"" ",-0.0072,"""FTX PEOPL ",2022-05-28 04:00:53.054651
1268,"""PEOPLE"" ",-0.02866,"""Binance PEOPLE ",2022-05-28 04:00:53.054651
1271,"""PEOPLE"" ",-0.024,"""FTX PEOPLE ",2022-05-28 04:00:53.054651
1277,"""PERP"" ",-0.3992,"""FTX PERP ",2022-05-28 04:00:53.054651
1283,"""POLIS"" ",0.004,"""FTX POLIS ",2022-05-28 04:00:53.054651
1289,"""PROM"" ",0.104,"""FTX PROM ",2022-05-28 04:00:53.054651
1295,"""PUNDI"" ",-0.116,"""FTX PUNDI ",2022-05-28 04:00:53.054651
1301,"""PUNDIX"" ",-0.0328,"""FTX PUNDIX ",2022-05-28 04:00:53.054651
1305,"""QTUM"" ",-0.012423,"""Binance QTUM ",2022-05-28 04:00:53.054651
1308,"""QTUM"" ",-0.0216,"""FTX QTUM ",2022-05-28 04:00:53.054651
1314,"""RAMP"" ",-0.0112,"""FTX RAMP ",2022-05-28 04:00:53.054651
1318,"""RAY"" ",-0.019542,"""Binance RAY ",2022-05-28 04:00:53.054651
1321,"""RAY"" ",-0.0264,"""FTX RAY ",2022-05-28 04:00:53.054651
1325,"""REEF"" ",-0.023579,"""Binance REEF ",2022-05-28 04:00:53.054651
1328,"""REEF"" ",-0.0064,"""FTX REEF ",2022-05-28 04:00:53.054651
1332,"""REN"" ",-0.039153,"""Binance REN ",2022-05-28 04:00:53.054651
1335,"""REN"" ",0.0224,"""FTX REN ",2022-05-28 04:00:53.054651
1341,"""RNDR"" ",-0.0152,"""FTX RNDR ",2022-05-28 04:00:53.054651
1347,"""RON"" ",0.1568,"""FTX RON ",2022-05-28 04:00:53.054651
1353,"""ROOK"" ",0.0696,"""FTX ROOK ",2022-05-28 04:00:53.054651
1357,"""ROSE"" ",-0.026959,"""Binance ROSE ",2022-05-28 04:00:53.054651
1360,"""ROSE"" ",-0.0224,"""FTX ROSE ",2022-05-28 04:00:53.054651
1364,"""RSR"" ",-0.083972,"""Binance RSR ",2022-05-28 04:00:53.054651
1367,"""RSR"" ",-0.0432,"""FTX RSR ",2022-05-28 04:00:53.054651
1371,"""RVN"" ",-0.024233,"""Binance RVN ",2022-05-28 04:00:53.054651
1377,"""SAND"" ",-0.019899,"""Binance SAND ",2022-05-28 04:00:53.054651
1380,"""SAND"" ",-0.0104,"""FTX SAND ",2022-05-28 04:00:53.054651
1387,"""SANDT"" ",0.01,"""BitMEX SANDT ",2022-05-28 04:00:53.054651
1390,"""SC"" ",-0.051692,"""Binance SC ",2022-05-28 04:00:53.054651
